Name,Year,Price
VOLT FOR-TWO CLASSIC,2022,325000
VOLT FOR-TWO TOP,2022,355000
VOLT FOR-FOUR CLSASIC,2022,385000
VOLT FOR-FOUR TOP,2022,415000
MG ZS EV D,2022,949000
MG ZS EV X,2022,1023000
ORA Good Cat GT,2022,1286000
Mini-Cooper SE Electric Collection,2022,2459000
Volvo C40 RECHARGE PURE ELECTRIC,2022,2690000
BMW-i 4 eDrive40 M,2022,4499000
BMW i 4 M50,2022,4999000
Mercedes-benz EQ EQS 450+ AMG Premium,2022,8570000
Mercedes-benz-EQ EQS 450+ Edition,2022,8870000
Land Rover Range Rover 3.0 Petrol Plug-In Hybrid SWB AWD Autobiography Plus,2022,11499000
Land Rover-Range Rover 3.0 Petrol Plug-In Hybrid LWB AWD Autobiography,2022,11999000
Land Rover Range Rover 3.0 Petrol Plug-In Hybrid SWB AWD SV Plus,2022,15999000
Ferrari 296 GTB,2022,21900000
ORA Good Cat 400 TECH,2021,763000
MG EP Plus,2021,771000
ORA Good Cat 400 PRO,2021,828500
ORA Good Cat 500 ULTRA,2021,959000
Nissan LEAF EV,2021,1990000
Volvo XC40 RECHARGE Pure Electric,2021,2590000
BMW i X3 M Sport,2021,3499000
BMW i X xDrive50 Sport,2021,5999000
Porsche Taycan RWD,2021,6390000
Audi e-tron GT quattro,2021,6599000
Audi e-tron GT quattro Performance,2021,6799000
Audi RS e-tron GT quattro,2021,9599000
MG-EP,2020,761000
Mini Cooper SE,2020,2290000
Lexus UX 300e,2020,3490000
Audi e-tron Sportback 55 quattro S line,2020,5499000
Porsche Taycan 4S,2020,7100000
Porsche Taycan 4S Plus,2020,7556500
Porsche Taycan Turbo,2020,9900000
Porsche Taycan Turbo S,2020,11700000
KIA Soul EV MY2019,2019,2387000
Audi e-tron 55 quattro 2019,2019,5299000
Jaguar I-PACE S Electric,2019,5500000
BYD E6 80kWh,2018,1890000
BMW i 8 Roadster,2018,12999000
